car,price,body,mileage,engV,engType,registration,year,model,drive
Nissan,6350,van,153,3.5,Other,no,2004,Elgrand,rear
Mercedes-Benz,1990,hatch,230,1.7,Other,no,2001,A 170,front
Opel,500,sedan,350,2,Petrol,yes,1990,Omega,rear
Mitsubishi,4000,hatch,367,1.6,Gas,yes,1997,Carisma,front
Volkswagen,3100,hatch,311,1.6,Gas,yes,1986,Golf II,full
Toyota,17500,crossover,168,4,Gas,yes,2004,Land Cruiser Prado,full
Mercedes-Benz,5800,van,368,2.2,Diesel,yes,2000,Vito ïàññ.,front
VAZ,850,crossover,111,1.6,Petrol,yes,1981,2121,full
BMW,4300,other,280,2.5,Petrol,yes,1985,325,rear
Dadi,4500,other,79,2.28,Petrol,yes,2007,BDD,rear
Nissan,16200,hatch,35,NA,Other,yes,2015,Leaf,front
Ford,15000,van,31,1.5,Diesel,yes,2015,Tourneo Courier,front
Volkswagen,3200,sedan,320,1.8,Gas,yes,1990,Passat B3,front
Volkswagen,9500,hatch,62,1.2,Diesel,yes,2011,Polo,front
Seat,5500,sedan,160,1.4,Gas,yes,2006,Cordoba,front
VAZ,2750,hatch,1,1.5,Petrol,yes,2006,21093,front
Fiat,2550,vagon,220,1.6,Gas,no,2003,Stilo,front
Chevrolet,6800,van,140,4.3,Petrol,yes,2004,Astro ïàññ.,rear
ZAZ,6880,hatch,25,1.5,Petrol,yes,2014,Vida,front
BMW,23700,crossover,117,2,Diesel,yes,2010,X1,rear
UAZ,2200,crossover,76,2.4,Gas,yes,1976,469,full
BMW,40000,crossover,48,4.4,Petrol,yes,2009,X6,full
Opel,7200,hatch,160,1.6,Petrol,yes,2005,Astra H,front
Jeep,19500,crossover,143,3,Diesel,yes,2008,Grand Cherokee,full
VAZ,703.95,sedan,30,1.3,Petrol,yes,1986,2106,rear
Mercedes-Benz,51000,sedan,119,4.7,Petrol,yes,2012,S 500,full
Toyota,9400,sedan,140,1.6,Petrol,yes,2008,Corolla,front
Skoda,8500,hatch,66,1.4,Petrol,yes,2013,Fabia,front
Hyundai,8500,hatch,76,1.1,Petrol,yes,2011,i10,front
Renault,9500,hatch,77,1.6,Petrol,yes,2011,Megane,front
Suzuki,10300,crossover,231,2.7,Petrol,yes,2007,Grand Vitara,full
Toyota,10600,sedan,204,1.8,Other,yes,2008,Avensis,front
Skoda,13800,sedan,125,1.8,Petrol,yes,2012,Octavia A5,front
Skoda,7300,hatch,131,1.4,Petrol,yes,2011,Fabia,front
Renault,9500,sedan,89,1.6,Petrol,yes,2012,Fluence,front
Toyota,10400,sedan,144,1.3,Petrol,yes,2012,Corolla,front
Renault,12900,crossover,89,2.5,Petrol,yes,2010,Koleos,full
Ford,9900,sedan,73,1.6,Petrol,yes,2011,Focus,front
Chrysler,8900,sedan,236,2.4,Gas,yes,2008,Sebring,
Skoda,8600,sedan,87,1.6,Petrol,yes,2009,Octavia Tour,front
Hyundai,12700,vagon,90,2,Petrol,yes,2012,Tucson,full
JAC,11900,crossover,7,2,Gas,yes,2014,S5,front
BMW,37500,crossover,110,4.4,Petrol,yes,2011,X6,full
Skoda,13500,vagon,90,1.8,Petrol,yes,2011,Yeti,full
Fiat,4490,van,375,1.3,Diesel,yes,2008,Doblo ãðóç.,front
Opel,5100,vagon,270,1.7,Diesel,yes,2003,Astra G,front
Ford,16600,hatch,30,NA,Other,yes,2013,Focus Electric,front
Mercedes-Benz,7000,sedan,370,2.2,Petrol,yes,1995,E-Class,rear
Hyundai,12600,sedan,87,1.6,Petrol,yes,2012,Elantra,front
Renault,2500,sedan,260,1.79,Petrol,yes,1994,19,front
Volvo,7700,sedan,312,2.4,Petrol,yes,2000,S80,front
Cadillac,20500,crossover,143,4.6,Petrol,yes,2006,SRX,full
Chevrolet,5500,hatch,157,1.5,Petrol,yes,2008,Aveo,front
Chery,9000,hatch,1,1.6,Petrol,yes,2011,M11,front
Daewoo,0,sedan,375,2,Petrol,yes,1996,Espero,front
Suzuki,3500,crossover,190,1.6,Gas,yes,1992,Vitara,full
Audi,20900,crossover,185,4.2,Petrol,yes,2006,Q7,full
Land Rover,45000,crossover,83,2.4,Diesel,yes,2008,Defender,full
Ford,68900,other,1,5,Petrol,yes,2016,Mustang GT,rear
Opel,10999,sedan,1,1.4,Petrol,yes,2008,Astra G,front
Alfa Romeo,17500,hatch,800,1.4,Petrol,yes,2012,Giulietta,front
VAZ,1850,sedan,42,1.6,Gas,yes,2004,2107,rear
Mercedes-Benz,12700,hatch,140,1.7,Gas,yes,2007,B 170,front
Mitsubishi,1999,van,168,1.8,Petrol,no,2001,Space Star,front
